month,number_of_vessels
2000-01,9186
2000-02,8056
2000-03,7893
2000-04,8038
2000-05,8097
2000-06,8323
2000-07,7893
2000-08,8319
2000-09,8008
2000-10,7744
2000-11,7417
2000-12,7940
2001-01,7573
2001-02,7520
2001-03,8138
2001-04,8021
2001-05,8101
2001-06,8000
2001-07,6728
2001-08,7689
2001-09,5701
2001-10,12106
2001-11,7596
2001-12,8072
2002-01,8086
2002-02,8248
2002-03,7320
2002-04,7439
2002-05,8640
2002-06,11626
2002-07,7706
2002-08,8103
2002-09,7870
2002-10,8468
2002-11,8170
2002-12,7413
2003-01,7886
2003-02,8146
2003-03,7940
2003-04,7325
2003-05,6884
2003-06,7759
2003-07,8137
2003-08,8515
2003-09,8469
2003-10,7718
2003-11,9272
2003-12,6989
2004-01,7794
2004-02,7500
2004-03,7819
2004-04,7034
2004-05,8442
2004-06,7699
2004-07,7360
2004-08,7965
2004-09,7927
2004-10,7510
2004-11,8040
2004-12,7630
2005-01,7966
2005-02,9180
2005-03,8044
2005-04,8487
2005-05,9211
2005-06,8384
2005-07,8537
2005-08,7978
2005-09,8304
2005-10,8753
2005-11,6869
2005-12,7465
2006-01,7368
2006-02,8879
2006-03,8186
2006-04,8439
2006-05,9927
2006-06,7903
2006-07,8035
2006-08,6973
2006-09,7500
2006-10,8247
2006-11,8077
2006-12,7926
2007-01,12585
2007-02,8484
2007-03,7750
2007-04,7897
2007-05,6666
2007-06,8114
2007-07,8315
2007-08,8592
2007-09,7459
2007-10,8695
2007-11,7771
2007-12,5299
2008-01,8529
2008-02,8767
2008-03,7711
2008-04,8322
2008-05,8665
2008-06,8359
2008-07,7420
2008-08,12187
2008-09,7738
2008-10,8204
2008-11,8055
2008-12,8306
2009-01,8282
2009-02,8040
2009-03,8692
2009-04,7788
2009-05,8210
2009-06,8430
2009-07,8437
2009-08,8665
2009-09,8637
2009-10,8235
2009-11,8799
2009-12,8408
2010-01,7819
2010-02,8221
2010-03,7916
2010-04,8210
2010-05,8245
2010-06,8155
2010-07,8947
2010-08,7725
2010-09,7813
2010-10,8117
2010-11,8032
2010-12,8273
2011-01,7952
2011-02,8042
2011-03,7602
2011-04,8018
2011-05,7190
2011-06,7886
2011-07,5759
2011-08,7737
2011-09,8506
2011-10,6855
2011-11,7673
2011-12,7951
2012-01,8451
2012-02,7512
2012-03,9507
2012-04,6899
2012-05,8023
2012-06,7430
2012-07,8744
2012-08,8483
2012-09,8111
2012-10,7594
2012-11,7487
2012-12,7975
2013-01,7905
2013-02,7998
2013-03,8304
2013-04,10826
2013-05,8720
2013-06,8384
2013-07,7311
2013-08,7937
2013-09,8024
2013-10,8184
2013-11,8440
2013-12,7461
2014-01,8202
2014-02,8398
2014-03,8395
2014-04,8034
2014-05,7141
2014-06,8739
2014-07,5513
2014-08,9563
2014-09,8537
2014-10,8700
2014-11,8465
2014-12,7443
2015-01,12314
2015-02,8496
2015-03,9700
2015-04,8013
2015-05,7835
2015-06,7684
2015-07,8055
2015-08,11892
2015-09,8435
2015-10,7985
2015-11,7986
2015-12,7842
2016-01,7845
2016-02,8604
2016-03,6881
2016-04,7735
2016-05,7965
2016-06,8464
2016-07,8053
2016-08,7878
2016-09,7471
2016-10,7760
2016-11,9084
2016-12,8072
2017-01,7727
2017-02,8853
2017-03,7386
2017-04,7746
2017-05,7888
2017-06,11671
2017-07,8326
2017-08,8975
2017-09,8007
2017-10,11308
2017-11,7589
2017-12,8727
2018-01,7414
2018-02,9075
2018-03,8166
2018-04,8169
2018-05,8211
2018-06,8273
2018-07,7722
2018-08,7618
2018-09,7597
2018-10,8482
2018-11,7676
2018-12,7823
2019-01,8005
2019-02,8916
2019-03,9571
2019-04,8946
2019-05,8682
2019-06,8717
2019-07,9098
2019-08,8973
2019-09,9281
2019-10,9687
2019-11,8227
2019-12,9278
2020-01,9099
2020-02,7993
2020-03,8493
2020-04,5648
2020-05,8441
2020-06,9239
2020-07,8864
2020-08,8702
2020-09,9160
2020-10,9164
2020-11,8970
2020-12,9476
2021-01,9372
2021-02,12700
2021-03,7915
2021-04,8772
2021-05,9357
2021-06,8381
2021-07,9439
2021-08,9605
2021-09,8890
2021-10,9133
2021-11,9305
2021-12,8950
2022-01,10956
2022-02,10017
2022-03,9784
2022-04,8983
2022-05,9650
2022-06,9569
2022-07,9262
2022-08,10181
2022-09,10256
2022-10,9554
2022-11,9274
2022-12,9250
2023-01,10310
2023-02,10473
2023-03,10149
2023-04,10468
2023-05,10794
2023-06,10606
2023-07,10236
2023-08,10236
2023-09,10910
2023-10,11123
2023-11,5481
2023-12,10043
2024-01,9699
2024-02,10843
2024-03,10964
2024-04,10615
2024-05,10507
2024-06,10939
2024-07,11748
2024-08,10763
2024-09,10366
2024-10,10772
2024-11,11284
